,State,Step,Susceptible,Infected,Removed,Dead,GDP Drop
0,New York,0,14125000,0,5305000,20000,0.039691516709512126
1,New York,1,13640000,485000,5305000,20000,0.035897172236504356
2,New York,2,13185000,940000,5305000,20000,0.03251413881748124
3,New York,3,12860000,1265000,5305000,20000,0.029634961439589092
4,New York,4,12375000,1735000,5320000,20000,0.02670437017994885
5,New York,5,12010000,2090000,5330000,20000,0.024185089974293177
6,New York,6,11695000,2390000,5345000,20000,0.022118251928020596
7,New York,7,11315000,2735000,5380000,20000,0.020359897172236446
8,New York,8,10910000,3105000,5415000,20000,0.018673521850899606
9,New York,9,10565000,3425000,5440000,20000,0.017501285347043496
10,New York,10,10275000,3655000,5500000,20000,0.016431876606683528
11,New York,11,9990000,3825000,5615000,20000,0.015465295629819794
12,New York,12,9765000,3940000,5725000,20000,0.014807197943444485
13,New York,13,9480000,4085000,5865000,20000,0.014293059125963776
14,New York,14,9175000,4205000,6045000,25000,0.013912596401028052
15,New York,15,9010000,4200000,6215000,25000,0.01353213367609233
16,New York,16,8800000,4195000,6430000,25000,0.013172236503855834
17,New York,17,8585000,4050000,6790000,25000,0.012874035989717024
18,New York,18,8435000,3845000,7145000,25000,0.012658097686375127
19,New York,19,8260000,3590000,7575000,25000,0.012483290488431685
20,New York,20,8100000,3385000,7940000,25000,0.012267352185089788
21,New York,21,7995000,3040000,8390000,25000,0.012113110539845574
22,New York,22,7885000,2765000,8775000,25000,0.011958868894601363
23,New York,23,7805000,2475000,9145000,25000,0.01185604113110522
24,New York,24,7640000,2205000,9580000,25000,0.01178406169665792
25,New York,25,7505000,1915000,10000000,30000,0.011753213367609079
26,New York,26,7395000,1585000,10440000,30000,0.011701799485861008
27,New York,27,7300000,1360000,10755000,35000,0.011619537275064094
28,New York,28,7215000,1185000,11015000,35000,0.011578406169665639
29,New York,29,7140000,935000,11340000,35000,0.011547557840616795
30,New York,30,7005000,760000,11650000,35000,0.011526992287917566
31,New York,31,6900000,585000,11920000,45000,0.011526992287917566
32,New York,32,6815000,445000,12145000,45000,0.011506426735218338
33,New York,33,6750000,310000,12345000,45000,0.011475578406169496
34,New York,34,6665000,235000,12505000,45000,0.011465295629819882
35,New York,35,6625000,160000,12620000,45000,0.011465295629819882
36,New York,36,6550000,145000,12710000,45000,0.011444730077120654
37,New York,37,6475000,95000,12835000,45000,0.011413881748071812
38,New York,38,6415000,75000,12915000,45000,0.011393316195372583
39,New York,39,6370000,55000,12980000,45000,0.011393316195372583
40,New York,40,6310000,20000,13075000,45000,0.011393316195372583
41,New York,41,6280000,30000,13095000,45000,0.01136246786632374
42,New York,42,6230000,35000,13140000,45000,0.011352185089974126
43,New York,43,6195000,35000,13175000,45000,0.011341902313624511
44,New York,44,6150000,20000,13235000,45000,0.011331619537274898
45,New York,45,6115000,15000,13275000,45000,0.011331619537274898
46,New York,46,6040000,20000,13345000,45000,0.011331619537274898
47,New York,47,6005000,40000,13360000,45000,0.011331619537274898
48,New York,48,6000000,15000,13390000,45000,0.011331619537274898
49,New York,49,5975000,20000,13410000,45000,0.011331619537274898
50,New York,50,5935000,25000,13445000,45000,0.011331619537274898
51,New York,51,5950000,5000,13450000,45000,0.011321336760925284
52,New York,52,5945000,15000,13445000,45000,0.011321336760925284
53,New York,53,5970000,10000,13425000,45000,0.011300771208226056
54,New York,54,5975000,15000,13415000,45000,0.01129048843187644
55,New York,55,5960000,20000,13425000,45000,0.01129048843187644
56,New York,56,5955000,15000,13435000,45000,0.011269922879177212
57,New York,57,5895000,60000,13450000,45000,0.01123907455012837
58,New York,58,5910000,20000,13475000,45000,0.011218508997429141
59,New York,59,5900000,15000,13490000,45000,0.0111876606683803
60,New York,60,5885000,15000,13505000,45000,0.01116709511568107
61,New York,61,5910000,20000,13475000,45000,0.011136246786632229
62,New York,62,5940000,30000,13435000,45000,0.011136246786632229
63,New York,63,5910000,40000,13455000,45000,0.011115681233933
64,New York,64,5905000,15000,13485000,45000,0.011105398457583385
65,New York,65,5950000,20000,13435000,45000,0.01106426735218493
66,New York,66,5945000,25000,13435000,45000,0.011043701799485701
67,New York,67,5965000,20000,13420000,45000,0.011023136246786473
68,New York,68,5940000,5000,13460000,45000,0.011012853470436857
69,New York,69,5975000,15000,13415000,45000,0.010982005141388015
70,New York,70,5985000,30000,13390000,45000,0.010951156812339173
71,New York,71,5980000,35000,13390000,45000,0.010889460154241486
72,New York,72,6005000,20000,13380000,45000,0.010879177377891873
73,New York,73,6070000,30000,13305000,45000,0.0108277634961438
74,New York,74,6105000,35000,13265000,45000,0.010807197943444575
75,New York,75,6135000,25000,13245000,45000,0.010776349614395732
76,New York,76,6215000,10000,13180000,45000,0.010724935732647661
77,New York,77,6220000,30000,13155000,45000,0.010694087403598817
78,New York,78,6220000,25000,13160000,45000,0.010663239074549975
79,New York,79,6265000,25000,13115000,45000,0.010642673521850748
80,New York,80,6305000,25000,13075000,45000,0.010580976863753061
81,New York,81,6335000,35000,13035000,45000,0.010508997429305764
82,New York,82,6395000,40000,12970000,45000,0.010488431876606535
83,New York,83,6405000,35000,12965000,45000,0.01042673521850885
84,New York,84,6500000,10000,12895000,45000,0.010344473007711937
85,New York,85,6515000,40000,12850000,45000,0.010272493573264638
86,New York,86,6575000,35000,12795000,45000,0.010190231362467723
87,New York,87,6605000,20000,12780000,45000,0.010097686375321196
88,New York,88,6640000,35000,12730000,45000,0.010035989717223512
89,New York,89,6690000,40000,12675000,45000,0.009984575835475441
90,New York,90,6750000,55000,12600000,45000,0.009902313624678527
91,New York,91,6795000,20000,12590000,45000,0.009809768637532
92,New York,92,6890000,35000,12480000,45000,0.009727506426735087
93,New York,93,6965000,50000,12390000,45000,0.009665809768637401
94,New York,94,7100000,70000,12235000,45000,0.009624678663238944
95,New York,95,7150000,45000,12210000,45000,0.009542416452442032
96,New York,96,7180000,40000,12185000,45000,0.00949100257069396
97,New York,97,7240000,30000,12135000,45000,0.00936760925449859
98,New York,98,7265000,40000,12100000,45000,0.00926478149100245
99,New York,99,7370000,45000,11990000,45000,0.00919280205655515
0,Pennsylvania,0,10185000,290000,2320000,5000,0.04123437500000021
1,Pennsylvania,1,9920000,555000,2320000,5000,0.03685937500000012
2,Pennsylvania,2,9610000,865000,2320000,5000,0.03271874999999999
3,Pennsylvania,3,9205000,1265000,2325000,5000,0.028999999999999825
4,Pennsylvania,4,8955000,1505000,2335000,5000,0.02589062499999963
5,Pennsylvania,5,8695000,1760000,2340000,5000,0.022671874999999623
6,Pennsylvania,6,8455000,1990000,2350000,5000,0.020312499999999675
7,Pennsylvania,7,8175000,2245000,2375000,5000,0.01829687499999972
8,Pennsylvania,8,8005000,2400000,2390000,5000,0.016874999999999748
9,Pennsylvania,9,7715000,2650000,2430000,5000,0.015312499999999781
10,Pennsylvania,10,7505000,2790000,2500000,5000,0.013968749999999813
11,Pennsylvania,11,7270000,2970000,2555000,5000,0.012687499999999841
12,Pennsylvania,12,7090000,3065000,2635000,10000,0.012062499999999855
13,Pennsylvania,13,6920000,3095000,2775000,10000,0.011421874999999866
14,Pennsylvania,14,6760000,3115000,2915000,10000,0.010828124999999876
15,Pennsylvania,15,6610000,3060000,3120000,10000,0.010093749999999896
16,Pennsylvania,16,6460000,3035000,3295000,10000,0.009656249999999904
17,Pennsylvania,17,6320000,2970000,3495000,15000,0.00939062499999991
18,Pennsylvania,18,6190000,2875000,3720000,15000,0.009093749999999914
19,Pennsylvania,19,6070000,2760000,3955000,15000,0.008921874999999918
20,Pennsylvania,20,5985000,2600000,4195000,20000,0.008656249999999924
21,Pennsylvania,21,5850000,2430000,4495000,25000,0.008468749999999928
22,Pennsylvania,22,5760000,2125000,4890000,25000,0.008281249999999931
23,Pennsylvania,23,5660000,1960000,5155000,25000,0.008171874999999934
24,Pennsylvania,24,5565000,1740000,5470000,25000,0.008062499999999936
25,Pennsylvania,25,5445000,1530000,5800000,25000,0.008031249999999938
26,Pennsylvania,26,5355000,1355000,6065000,25000,0.007968749999999938
27,Pennsylvania,27,5275000,1085000,6415000,25000,0.00793749999999994
28,Pennsylvania,28,5195000,905000,6675000,25000,0.007906249999999941
29,Pennsylvania,29,5055000,755000,6965000,25000,0.007890624999999941
30,Pennsylvania,30,4965000,595000,7215000,25000,0.007874999999999941
31,Pennsylvania,31,4915000,440000,7420000,25000,0.007874999999999941
32,Pennsylvania,32,4805000,385000,7585000,25000,0.007859374999999943
33,Pennsylvania,33,4760000,280000,7735000,25000,0.007859374999999943
34,Pennsylvania,34,4720000,190000,7865000,25000,0.007843749999999943
35,Pennsylvania,35,4660000,165000,7945000,30000,0.007843749999999943
36,Pennsylvania,36,4615000,105000,8050000,30000,0.007843749999999943
37,Pennsylvania,37,4555000,85000,8130000,30000,0.007843749999999943
38,Pennsylvania,38,4520000,65000,8185000,30000,0.007828124999999943
39,Pennsylvania,39,4490000,40000,8240000,30000,0.007828124999999943
40,Pennsylvania,40,4445000,40000,8285000,30000,0.007828124999999943
41,Pennsylvania,41,4420000,30000,8320000,30000,0.007828124999999943
42,Pennsylvania,42,4395000,5000,8370000,30000,0.007828124999999943
43,Pennsylvania,43,4365000,25000,8380000,30000,0.007812499999999943
44,Pennsylvania,44,4355000,20000,8390000,35000,0.007812499999999943
45,Pennsylvania,45,4325000,20000,8420000,35000,0.007812499999999943
46,Pennsylvania,46,4320000,10000,8435000,35000,0.007812499999999943
